Name,Brand,SKU,MPN,base_price,MSRP,Image
Tropical Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT13M-,,966.00,1063.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1518/31808/TT12-Tropical__98683.1599644583.jpg?c=2
Deck Post Mounting Plate | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TTDP,,124.00,137.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15019/31822/Top-Torch-Desk-Post-Anchor__27516.1599715080.jpg?c=2
Hawi Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT20M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15006/31749/Hawi-Style-Fire-Torch__37425.1599564406.jpg?c=2
Pillar Mount,"<span itemprop=""name"">Tempest Torches</span>",94800826,,202.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11115/20751/tempest-torch-mounting-pillar__46561.1575394866.jpg?c=2
In Ground Post,"<span itemprop=""name"">Tempest Torches</span>",94800813,,302.00,,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/11116/47336/RockyMountainStove_3094_2021.07.13__46846__68974.1672779301.jpg?c=2
Tiki Torch Deck Mount | Fire By Design,"<span itemprop=""name"">Fire by Design</span>",TDM,,206.23,217.08,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/19081/47007/FBD_Tiki_Torch_Deck_Mount_1_1024x10242x__95307.1667289223.jpg?c=2
Globe Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT2M-,,1182.00,1301.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15002/31718/TT2-Globe__09965.1599544860.jpg?c=2
Ellipse Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT1M-,,796.00,876.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15001/31715/TT1-Elipse_1__51360.1599542383.jpg?c=2
Coral Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT17M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/1378/31739/Coral-Style-Fire-Torch_1__81796.1599556602.jpg?c=2
Shooting Star Fire Torch Stainless Steel | The Outdoor Plus,"<span itemprop=""name"">The Outdoor Plus</span>",OPT-TT21M-,,704.00,775.00,https://cdn11.bigcommerce.com/s-h4x3egp9by/images/stencil/1280x1280/products/15007/31754/Shooting-Star-Style-Fire-Torch__56638.1599565679.jpg?c=2
